"id","title","image","imageType"
664090,"Turkish Chicken Salad with Home-made Cacik Yogurt Sauce","https://img.spoonacular.com/recipes/664090-312x231.jpg","jpg"
636602,"Butternut Squash Soup (In Half An Hour!)","https://img.spoonacular.com/recipes/636602-312x231.jpg","jpg"
716276,"Doughnuts","https://img.spoonacular.com/recipes/716276-312x231.jpg","jpg"
1044252,"Shredded Roast Beef Stuffed Sweet Potatoes (Whole 30 & PALEO)","https://img.spoonacular.com/recipes/1044252-312x231.jpg","jpg"
649944,"Lentil Mango Salad","https://img.spoonacular.com/recipes/649944-312x231.jpg","jpg"
646043,"Gujarati Dry Mung Bean Curry","https://img.spoonacular.com/recipes/646043-312x231.jpg","jpg"
634437,"Basil Tagliatelle with Roasted Red Bell Pepper Salad","https://img.spoonacular.com/recipes/634437-312x231.jpg","jpg"
655235,"Peanut Butter and Jelly Smoothie","https://img.spoonacular.com/recipes/655235-312x231.jpg","jpg"
652393,"Moosewood Lentil Soup","https://img.spoonacular.com/recipes/652393-312x231.jpg","jpg"
640828,"Crispy Panko and Herb Crusted Salmon","https://img.spoonacular.com/recipes/640828-312x231.jpg","jpg"
639411,"Cilantro Lime Halibut","https://img.spoonacular.com/recipes/639411-312x231.jpg","jpg"
636228,"Broccoli Tartar","https://img.spoonacular.com/recipes/636228-312x231.jpg","jpg"
661259,"Spinach and Gorgonzola Stuffed Flank Steak","https://img.spoonacular.com/recipes/661259-312x231.jpg","jpg"
664680,"Vegetarian Mushroom Shepherd's Pie","https://img.spoonacular.com/recipes/664680-312x231.jpg","jpg"
715391,"Slow Cooker Chicken Taco Soup","https://img.spoonacular.com/recipes/715391-312x231.jpg","jpg"
636230,"Broccoli with cheese soup","https://img.spoonacular.com/recipes/636230-312x231.jpg","jpg"
632347,"Ancient Grains Bread","https://img.spoonacular.com/recipes/632347-312x231.jpg","jpg"
1132339,"Garlic Lemon Chili Broccoli","https://img.spoonacular.com/recipes/1132339-312x231.jpg","jpg"
659927,"Shrimp and Avocado Salad","https://img.spoonacular.com/recipes/659927-312x231.jpg","jpg"
716217,"Vietnamese Pancakes with Vegetables, Herbs and a Fragrant Dipping Sauce (Bánh Xèo)","https://img.spoonacular.com/recipes/716217-312x231.jpg","jpg"
659109,"Salmon Quinoa Risotto","https://img.spoonacular.com/recipes/659109-312x231.jpg","jpg"
644826,"Gluten Free Dairy Free Sugar Free Chinese Chicken Salad","https://img.spoonacular.com/recipes/644826-312x231.jpg","jpg"
1000566,"Easy Instant Pot Beef Tips and Rice","https://img.spoonacular.com/recipes/1000566-312x231.jpg","jpg"
664786,"Venison Stew","https://img.spoonacular.com/recipes/664786-312x231.jpg","jpg"
657719,"Radish & Snap Pea Quinoa Salad","https://img.spoonacular.com/recipes/657719-312x231.jpg","jpg"
659143,"Salmon, Watercress, Fennel and Baby Beetroot Salad With Lemony ""Caviar"" Dressing","https://img.spoonacular.com/recipes/659143-312x231.jpg","jpg"
645978,"Ground Turkey Stuffed Peppers","https://img.spoonacular.com/recipes/645978-312x231.jpg","jpg"
715544,"Brown Butter Twice Baked Sweet Potatoes","https://img.spoonacular.com/recipes/715544-312x231.jpg","jpg"
716364,"Rice and Peas with Coconut Curry Mackerel","https://img.spoonacular.com/recipes/716364-312x231.jpg","jpg"
633226,"Baby Bok Choy Stir Fry","https://img.spoonacular.com/recipes/633226-312x231.jpg","jpg"
641422,"Delightful Kale and Cabbage Slaw","https://img.spoonacular.com/recipes/641422-312x231.jpg","jpg"
631868,"4 Ingredient Chicken Pot Pie","https://img.spoonacular.com/recipes/631868-312x231.jpg","jpg"
633711,"Baked Penne","https://img.spoonacular.com/recipes/633711-312x231.jpg","jpg"
655573,"Penne Arrabiata","https://img.spoonacular.com/recipes/655573-312x231.jpg","jpg"
641387,"Delicious Creamy Lentils and Chestnuts Soup","https://img.spoonacular.com/recipes/641387-312x231.jpg","jpg"
638626,"Chimichurri Skirt Steak with Grilled Asparagus","https://img.spoonacular.com/recipes/638626-312x231.jpg","jpg"
655706,"Peppery Absorption-Cooked Red-Wine Capellini","https://img.spoonacular.com/recipes/655706-312x231.jpg","jpg"
661122,"Spicy lentil and black rice soup with kale, spinach and leek","https://img.spoonacular.com/recipes/661122-312x231.jpg","jpg"
1697645,"Cauliflower Rice","https://img.spoonacular.com/recipes/1697645-312x231.jpg","jpg"
635679,"Borani Esfanaaj","https://img.spoonacular.com/recipes/635679-312x231.jpg","jpg"
657698,"Quinoa, Tomato, Green Onion Side Salad","https://img.spoonacular.com/recipes/657698-312x231.jpg","jpg"
642121,"Easy Tabouleh","https://img.spoonacular.com/recipes/642121-312x231.jpg","jpg"
665378,"Winter Fattoush Salad","https://img.spoonacular.com/recipes/665378-312x231.jpg","jpg"
